[17:18:11] [INFO] received Windows console close event; shutting log-core down
[20:09:52] [INFO] received Windows console close event; shutting log-core down
[20:14:28] [INFO] received Windows console close event; shutting log-core down
[20:19:44] [INFO] received Windows console close event; shutting log-core down
[20:21:57] [INFO] received Windows console close event; shutting log-core down
[20:26:46] [INFO] received Windows console close event; shutting log-core down
[20:28:02] [INFO] received Windows console close event; shutting log-core down
[20:31:49] [INFO] received Windows console close event; shutting log-core down
[20:33:17] [INFO] received Windows console close event; shutting log-core down
[20:45:39] [INFO] received Windows console close event; shutting log-core down
[14:19:28] [INFO] received Windows console close event; shutting log-core down
[14:19:28] [INFO] received Windows console close event; shutting log-core down
[14:20:30] [INFO] received Windows console close event; shutting log-core down
[14:20:39] [INFO] received Windows console close event; shutting log-core down
[14:20:49] [INFO] received Windows console close event; shutting log-core down
[14:21:14] [INFO] received Windows console close event; shutting log-core down
[17:29:58] [INFO] received Windows console close event; shutting log-core down
[17:33:34] [INFO] received Windows console close event; shutting log-core down
[17:38:50] [INFO] received Windows console close event; shutting log-core down
[17:39:35] [INFO] received Windows console close event; shutting log-core down
[17:44:05] [INFO] received Windows console close event; shutting log-core down
[14:17:00] [INFO] received Windows console close event; shutting log-core down
[14:31:27] [INFO] received Windows console close event; shutting log-core down
[15:20:11] [INFO] received Windows console close event; shutting log-core down
[17:27:34] [INFO] received Windows console close event; shutting log-core down
[17:28:51] [INFO] received Windows console close event; shutting log-core down
[17:29:34] [INFO] received Windows console close event; shutting log-core down
[17:40:17] [INFO] received Windows console close event; shutting log-core down
[17:46:06] [INFO] received Windows console close event; shutting log-core down
[17:49:56] [INFO] received Windows console close event; shutting log-core down
[17:53:34] [INFO] received Windows console close event; shutting log-core down
[17:55:16] [INFO] received Windows console close event; shutting log-core down
[17:55:23] [INFO] received Windows console close event; shutting log-core down
[17:59:15] [INFO] received Windows console close event; shutting log-core down
[17:59:22] [INFO] received Windows console close event; shutting log-core down
[18:06:48] [INFO] received Windows console close event; shutting log-core down
[18:07:15] [INFO] received Windows console close event; shutting log-core down
[18:07:59] [INFO] received Windows console close event; shutting log-core down
[18:09:10] [INFO] received Windows console close event; shutting log-core down
[18:11:23] [INFO] received Windows console close event; shutting log-core down
[18:14:30] [INFO] received Windows console close event; shutting log-core down
[18:20:24] [INFO] received Windows console close event; shutting log-core down
